Sig_day,Sig_time,Validated,Val_day,Val_time,Label,is_covid,Method,Person,Start_time,sig_day_time,val_day_time
20/10/2020,14:00:00,no,21/10/2020,09:31:00,Topic 78a,no,epitweetr,EI expert 1,09:30:00,20/10/2020 14:00,21/10/2020 09:31
20/10/2020,17:00:00,no,21/10/2020,09:31:00,Topic 78a,no,epitweetr,EI expert 1,09:30:00,20/10/2020 17:00,21/10/2020 09:31
20/10/2020,14:00:00,no,21/10/2020,09:31:00,Topic 78a,no,epitweetr,EI expert 1,09:30:00,20/10/2020 14:00,21/10/2020 09:31
21/10/2020,20:00:00,yes,22/10/2020,09:01:00,Topic 78a,no,epitweetr,EI expert 1,09:00:00,21/10/2020 20:00,22/10/2020 09:01
21/10/2020,20:00:00,yes,22/10/2020,09:01:00,Topic 78a,no,epitweetr,EI expert 1,09:00:00,21/10/2020 20:00,22/10/2020 09:01
29/10/2020,12:00:00,no,29/10/2020,15:49:00,Topic 78a,no,epitweetr,EI expert 1,15:40:00,29/10/2020 12:00,29/10/2020 15:49
29/10/2020,12:00:00,no,29/10/2020,15:49:00,Topic 78a,no,epitweetr,EI expert 1,15:40:00,29/10/2020 12:00,29/10/2020 15:49
25/11/2020,00:00:00,yes,25/11/2020,10:08:00,Topic 78b,no,epitweetr,EI expert 1,09:50:00,25/11/2020 00:00,25/11/2020 10:08
26/10/2020,12:00:00,no,26/10/2020,15:27:00,Topic 78c,no,epitweetr,EI expert 1,15:25:00,26/10/2020 12:00,26/10/2020 15:27
27/10/2020,03:00:00,no,27/10/2020,08:19:00,Topic 79,no,epitweetr,EI expert 1,08:15:00,27/10/2020 03:00,27/10/2020 08:19
27/10/2020,03:00:00,no,27/10/2020,08:19:00,Topic 79,no,epitweetr,EI expert 1,08:15:00,27/10/2020 03:00,27/10/2020 08:19
27/10/2020,03:00:00,no,27/10/2020,08:19:00,Topic 79,no,epitweetr,EI expert 1,08:15:00,27/10/2020 03:00,27/10/2020 08:19
27/10/2020,03:00:00,no,27/10/2020,08:19:00,Topic 79,no,epitweetr,EI expert 1,08:15:00,27/10/2020 03:00,27/10/2020 08:19
21/10/2020,00:00:00,yes,21/10/2020,09:55:00,Topic 7a,no,epitweetr,EI expert 1,09:30:00,21/10/2020 00:00,21/10/2020 09:55
05/11/2020,20:00:00,yes,06/11/2020,09:05:00,Topic 7a,no,epitweetr,EI expert 2,09:00:00,05/11/2020 20:00,06/11/2020 09:05
05/11/2020,15:00:00,yes,06/11/2020,09:05:00,Topic 7a,no,epitweetr,EI expert 2,09:00:00,05/11/2020 15:00,06/11/2020 09:05
05/11/2020,15:00:00,yes,06/11/2020,09:05:00,Topic 7a,no,epitweetr,EI expert 2,09:00:00,05/11/2020 15:00,06/11/2020 09:05
